Id,owner,month_of_year,day_of_month,day_of_week,hour_of_day,minute_of_hour,deletion,addition,changed_file_30,changed_file_90,total_changed_30,total_changed_90,isReq
7121,4120,4,4,6,15,14,25,219,2,3,3,17,0
7768,4326,4,24,5,20,5,2,1,1,1,4,8,0
7365,679,4,11,6,23,11,639,2,2,2,13,23,0
6947,1155,3,30,2,23,17,22,18,1,1,1,5,0
7761,385,4,24,5,17,18,4,6,1,1,2,5,0
7542,2835,4,17,5,14,44,135,602,14,14,154,386,1
7648,321,4,22,3,1,16,3,176,4,4,7,17,0
7757,782,4,24,5,15,6,3,3,1,1,18,97,0
7566,1849,4,17,5,22,54,4,1,2,3,45,222,0
7576,2238,4,18,6,9,19,0,126,1,2,2,12,0
7760,1,4,24,5,16,46,89,187,18,19,48,49,1
7721,1994,4,23,4,20,3,1,2,1,1,2,3,0
7713,1132,4,23,4,18,47,4,0,1,1,46,85,0
7714,1,4,23,4,18,53,69,118,3,3,4,24,1
7744,308,4,24,5,0,14,3,3,1,1,1,1,0
7745,308,4,24,5,0,16,0,14,1,1,2,6,0
7735,360,4,24,5,3,9,3,1,1,1,3,5,0
7755,1132,4,24,5,14,33,1,1,1,1,16,42,0
7751,1132,4,24,5,13,57,44,44,18,19,106,272,1
7628,866,4,21,2,15,40,1099,6,4,5,57,114,1
7647,1216,4,22,3,0,50,22,20,12,12,32,94,0
7750,2,4,24,5,13,47,2,3,2,2,58,185,0
7749,360,4,24,5,13,34,2,2,2,2,29,79,0
7746,1132,4,24,5,13,21,1,1,1,1,16,42,0
7740,308,4,24,5,9,25,1,1,1,1,24,63,0
7570,597,4,18,6,1,21,22,19,1,2,3,17,0
7695,2455,4,23,4,13,57,0,33,2,2,4,15,0
7727,1132,4,23,4,21,54,1,3,1,1,15,46,0
7532,2238,4,17,5,6,56,2,67,1,1,3,7,0
7734,1849,4,24,5,2,11,136,0,1,1,2,18,0
7612,3,4,20,1,23,4,14704,16363,19,19,79,269,0
7571,1849,4,18,6,2,12,3,80,3,3,41,114,1
7328,706,4,10,5,22,37,14,22,3,3,33,104,0
7726,1816,4,23,4,21,32,19,0,0,1,0,1,0
7684,2458,4,22,3,20,41,0,2,1,2,31,124,0
7725,2,4,23,4,21,31,1,1,1,1,4,17,0
7697,360,4,23,4,14,49,3,3,1,1,1,1,0
7702,360,4,23,4,15,57,0,14,1,1,2,6,0
7483,1247,4,16,4,0,32,18,90,2,2,2,10,0
7703,2835,4,23,4,16,32,0,5,1,1,3,4,0
7649,321,4,22,3,1,19,17,58,1,1,15,38,0
7704,321,4,23,4,17,30,15,102,1,1,3,3,0
7715,308,4,23,4,19,7,1,3,1,1,15,46,0
7710,1849,4,23,4,18,37,150,0,1,1,2,18,0
7578,2238,4,18,6,13,47,0,50,2,2,3,20,0
7219,1711,4,7,2,22,55,1,1,1,1,4,12,0
7622,4120,4,21,2,14,18,14,9,1,1,5,18,0
7712,209,4,23,4,18,38,4,23,3,3,19,37,0
7711,475,4,23,4,18,37,40,69,1,1,1,1,0
7717,1699,4,23,4,19,19,1,0,1,1,1,1,0
7048,679,4,2,4,23,54,176,527,27,31,176,582,1
7709,357,4,23,4,18,26,46,103,9,12,14,70,0
7705,1816,4,23,4,18,9,3728,5569,16,16,19,258,0
7546,330,4,17,5,15,50,0,615,7,7,52,115,1
7688,1816,4,23,4,3,1,46,103,5,11,7,63,0
7699,2,4,23,4,15,10,1,1,1,1,24,62,0
7616,1994,4,21,2,5,18,33,24,2,4,8,30,0
7593,475,4,19,7,0,23,0,241,0,0,0,0,1
7435,4200,4,15,3,9,28,9,22,1,2,27,119,0
7391,1561,4,14,2,13,39,165,630,3,3,57,159,1
7390,1561,4,14,2,13,38,124,230,13,14,81,252,0
7694,308,4,23,4,0,20,1,1,1,1,3,3,0
7389,1561,4,14,2,13,38,19,148,1,2,4,9,1
7613,321,4,21,2,0,0,15,102,1,1,2,2,0
7575,612,4,18,6,7,19,0,11,1,1,5,5,0
7678,1849,4,22,3,17,45,11,11,7,7,54,126,0
7657,1816,4,22,3,6,34,720,2306,14,29,26,214,1
7336,2874,4,11,6,2,24,6,14,2,2,4,4,0
7658,612,4,22,3,6,47,9,9,1,2,32,124,0
7451,1132,4,15,3,17,34,117,82,2,5,2,9,0
7683,1132,4,22,3,20,24,1,1,1,1,5,9,0
7667,360,4,22,3,14,14,3,49,3,4,14,67,0
7687,1849,4,22,3,21,51,1,0,1,1,22,62,0
7543,4120,4,17,5,14,48,0,427,2,2,3,11,0
7685,447,4,22,3,20,50,2,0,1,1,11,14,0
6979,2383,4,1,3,18,27,43,74,2,5,4,39,0
7660,308,4,22,3,9,40,1,5,1,1,12,45,0
7682,1,4,22,3,20,2,1,2,1,1,1,1,0
7554,970,4,17,5,18,50,3,7,1,1,15,101,0
7646,1816,4,21,2,22,43,2,21,2,2,2,2,0
7681,2325,4,22,3,18,53,2,2,1,1,4,4,0
6476,1816,3,11,4,23,13,0,7,2,2,17,22,0
7679,2325,4,22,3,18,44,5,474,2,2,4,4,0
7661,308,4,22,3,9,48,1,3,1,1,40,82,0
7192,1653,4,7,2,8,46,14,1248,3,9,6,60,0
7675,2,4,22,3,17,41,0,25,1,1,33,55,0
7672,2,4,22,3,16,7,1,0,1,1,5,13,0
7653,1,4,22,3,1,41,273,435,4,7,10,43,1
7671,2,4,22,3,15,52,1,0,1,1,6,21,0
7670,2,4,22,3,15,51,4,0,1,1,5,9,0
7634,1,4,21,2,17,56,78,70,4,4,39,78,0
7597,2,4,19,7,14,10,3,27,1,1,2,2,0
7599,2,4,19,7,16,0,91,19,3,3,9,13,0
7664,2325,4,22,3,11,8,0,1,0,1,0,1,0
7631,2,4,21,2,16,41,0,2,1,1,6,21,0
7652,3099,4,22,3,1,36,5,1,1,1,1,6,0
7662,308,4,22,3,9,55,1,1,1,1,12,45,0
7666,2325,4,22,3,14,14,2,2,2,2,9,22,0
7591,970,4,18,6,22,21,1,6,1,1,1,1,0
7594,964,4,19,7,4,12,18,38,6,6,43,85,0
7650,321,4,22,3,1,21,0,221,3,3,8,14,0
7630,1,4,21,2,16,14,1,1,1,1,2,4,0
7564,1132,4,17,5,21,38,6,106,1,2,11,21,1
7636,209,4,21,2,18,7,0,17,2,2,3,7,0
7645,3099,4,21,2,21,39,1,1,1,1,2,2,0
7644,4302,4,21,2,21,1,1,1,0,1,0,3,0
7582,2284,4,18,6,14,49,49,130,6,7,33,84,0
6359,97,3,9,2,2,52,40,191,5,5,22,50,0
7635,616,4,21,2,18,1,1,2,0,1,0,3,1
7637,2,4,21,2,18,41,12,15,3,3,35,89,0
7537,2243,4,17,5,13,45,1583,2173,19,23,155,514,1
7632,4302,4,21,2,17,32,1,1,1,1,3,24,0
7588,970,4,18,6,19,35,0,279,1,1,39,84,1
7579,2325,4,18,6,13,47,25,31,1,1,2,8,0
7604,321,4,20,1,3,20,0,5,1,1,16,43,0
7534,1994,4,17,5,7,19,21,23,3,4,10,74,0
7474,2238,4,16,4,6,31,1,5,1,2,2,10,0
7619,1994,4,21,2,8,0,10,9,8,8,24,44,0
7629,1,4,21,2,15,40,1,1,1,1,31,53,0
7620,1994,4,21,2,9,2,1,1,1,1,1,2,0
7627,2,4,21,2,14,58,4,0,1,1,13,40,0
7626,2325,4,21,2,14,48,2,2,1,1,2,2,0
7625,2325,4,21,2,14,45,1,1,1,1,3,3,0
7624,2325,4,21,2,14,35,9,0,1,1,4,4,0
7623,2325,4,21,2,14,24,6,6,2,2,6,10,0
7609,1653,4,20,1,13,32,1,1,0,1,0,1,0
7607,1653,4,20,1,6,8,0,1,1,1,13,44,0
7621,2325,4,21,2,13,18,0,40,1,1,1,1,0
7562,2,4,17,5,21,8,123,6,5,7,9,12,0
7527,2,4,17,5,1,29,7,40,1,1,1,1,0
7500,2,4,16,4,16,33,0,64,1,1,28,53,0
7606,321,4,20,1,4,29,0,221,2,2,6,11,0
7603,321,4,20,1,3,2,17,58,1,1,14,37,0
7466,321,4,16,4,1,35,3,176,1,2,1,11,0
7614,321,4,21,2,1,28,0,1,1,1,3,9,0
7573,612,4,18,6,4,51,3,3,2,2,6,10,0
7541,612,4,17,5,14,22,1,1,1,1,9,23,0
7540,612,4,17,5,14,14,1,1,1,1,2,8,0
7344,1926,4,11,6,14,57,13,44,3,3,9,97,0
7464,1004,4,15,3,21,47,0,38,2,2,8,71,0
7109,1446,4,4,6,9,19,2,2,1,1,1,8,0
7374,3,4,13,1,23,5,28100,32577,19,19,79,269,0
7598,2,4,19,7,15,15,0,5,1,1,4,10,0
7480,612,4,16,4,11,4,12,21,6,7,32,74,0
7421,1849,4,14,2,22,50,137,137,78,78,195,579,0
7526,748,4,17,5,0,56,0,29,2,3,8,27,0
7515,1071,4,16,4,18,5,2,5,4,4,56,204,0
7519,1216,4,16,4,21,35,6,5497,18,18,82,175,0
7587,1816,4,18,6,18,42,1,1,1,1,12,44,0
7589,287,4,18,6,20,21,1,1,1,1,4,13,0
7147,3031,4,5,7,2,17,2,2,2,2,2,26,0
7095,2035,4,3,5,23,15,29,251,3,3,7,20,0
7555,360,4,17,5,19,17,2,2,0,1,0,2,0
7567,490,4,18,6,0,2,4,4,1,1,4,21,1
7388,1561,4,14,2,13,38,24,164,4,4,44,131,1
7445,360,4,15,3,14,55,0,13,3,3,41,161,1
7387,1561,4,14,2,13,38,17,200,2,3,8,19,1
6489,1926,3,12,5,16,40,0,13,3,3,10,43,0
7585,1994,4,18,6,17,21,4,4,1,1,3,4,0
7553,447,4,17,5,17,52,0,17,1,1,8,15,0
7149,2934,4,5,7,4,46,23,155,4,4,79,263,0
7175,2934,4,6,1,22,39,1,58,1,1,2,3,0
6425,6,3,10,3,20,3,4,79,3,3,3,14,0
