Id,Comment
2869,enhanc activitycr gener project instrumentationnnactivitycr script enhanc gener project along main project current behavior gener activ extend gener activitytest folder folder follow exampl provid asi apidemo wa use refer project mimic project layout build test use instrumentationnnfrom project typen adb shell instrument w yourpackagetestsandroidtestinstrumentationtestrunnernto run test use android instrumentationtestrunnernnnot separ androidproject mean ha androidmanifestxml buildxml src etcnnamendntfix style issu javadocntfix buildtempl gener testsbuildxmlntremov buildteststempl sinc obsolet nown 
2890,updat comment binbash vs usrlocalbinbash issuen 
2892,ad file adb compil updat makefilen usbfreebsdc stub fullwork getmypath receiv two paramet changesn correct size buffern 
2894,improv thai char detect mask minor bug fixesn 
2896,debian etch doe crossrefer libncursesnnhost execut undefin refer undefin refer undefin refer undefin refer undefin refer undefin refer undefin refer undefin refer undefin refer ld return exit statusn 
2897,fairli obviou syntax error miss close bracen 
2898,add abil choos jdk version freebsd via commonjavacvers ad fallback jdk build sdk make updat findjdktoolsjarsh solid scriptn ad abil find toolsjar exact jdk versionn updat droiddocmk specifi jdk version beforen execut droiddocn 
2903,complet implement trigger n 
3071,boardtrout use rfkill framework control bluetooth powern 
3075,ad configur freebsd ad flag avoid error duringn compil incompat type ad includ thi allow correct defion ofn namespac make like type visibl chang makefileandroid order build ossn 
3076,ad dummi support usb transport updat getmypath function safer unsign sizet certain code style changesn 
3078,open file loop devic ordonli loopronotherwis ioctl loopsetfd fail bad file numbern 
3081,updat envsetupsh use instead nativ freebsdn 
3087,onscreen keyboard activitiesneveri activ ha new menuitem keyboard overrid menuncr methodsncomplet onc menuitem click new view appear top thenoth thenkeyboardnnfirst upload contain filesn 
3088,chang sprintf snprintfnnupd snprintf additionali fix code style mix per filenremov typosn 
3092,bugfix rokernelandroidqemud ril roandroidnorilnnthi fix typo fact sh seem haventest nsee also shbuiltinsdef testcmd comment outnnth handl properti wa broken effectnthat modem internaltelephonytestsimulatedjavanwa never run even would usersdevelopersnintentionnnse also issu 
3123,add pand rc add pand updown script start busybox udhcpd andnadd udhcpd confign 
3156,ad cpmdevelopersguid documentn 
3602,ad chdirchroot command mount switchingpivotingn 
3802,add usleep command nid 
4009,ad new file allow author engin test app buildnn new file enginesauthortestsrcsinglecorepvaetestnodeconfighn new file enginesauthortestsrcsinglecorepvaetestinputcppn new file enginesauthortestsrcsinglecorepvaetestinputhn 
4044,remov special consider ebusi automounternnif SD card partit one attempt use partit SD card anoth purpos mayb even boot consid busi mountd tri mount specifi etcmountdconf normal would attempt mount partit devic busi special treat code doe consid thi error conditionnnth argment thi check devic like alreadi mount obvious someth assum true thi exampl situat even devic alreadi mount viewpoint thi consid error anyway fail mount wa told therefor believ thi check onli caus abov problem also incorrect thi chang remov itnnfor inform see thi 
4045,ad support looppathtofilenam mountnnin keep pattern mtdpartit ad looppath way specifi loopback devic thi way thing like mount directori system use cramf file otherwis system one exampl oof use specif went loop rather ad thi featur flag flag system design set bit flag argument mount use loop fit model much simpler manner actual feel correctn 
4065,chang routeal mask mask allow rout futuren 
4072,small clean fix problem use insmod rc driver expect use udev load driver FW without thi fix driver block FW load wait program respond netlink messag wait insmod call complet load driver firmwar result use insmod rc multithread operationn 
4136,input add keyreset drivernnadd platform devic board file specifi reset keycombonth first time keycombo detect work function syncsnth filesystem schedul key releas thennpress call panic reboot panic set fornthi worknnnedoffbi arv hjønnevåg 
4138,avoid use syntax refer phone applic corenthi add build depend phoneapp core build fail onnconfigur phone applicationnnbuild error error read file includ packagesappsphonereslayoutdialerlistitemxmln 
4158,show error messag exec fail dure servic startupn 
4171,reflect chang origin mediaaudiosystem api apivalid continu workn 
4172,chang routeal mask mask allow rout futuren 
4192,add includ path build libbluedroidnnthi fix build boardhavebluetooth truennnedoffbi nick pelli 
4239,fix make distnnremov depend ota packag nown 
4251,ad support looppathtofilenam mountnnin keep pattern mtdpartit ad looppath way specifi loopback devic thi way thing like mount directori system use cramf file otherwis system one exampl oof use specif went loop rather ad thi featur flag flag system design set bit flag argument mount use loop fit model much simpler manner actual feel correctnnthi better version previous submit also refactor mtd case reason thi receiv comment check error return error rather work case success fall mtd case either becam awkward design function wa half one style error handl half anoth also made certain use inequ comparison error return rather check refactor larg statement danl parenthes disassocit loop devic mount failuren 
4267,reflect chang origin mediaaudiosystem api apivalid continu workn 
4375,paranoid network use inegroupp check group membershipnnth previou groupsearch caus troubl partner modul buildsninegroupp also cleanernnnedoffbi nick pelli 
4380,bluetooth forcabl disabl esconnth sysf interfac turn esco doe work correctli use thi hackninsteadnnnedoffbi nick pelli 
4387,add bluetooth includ pathnnfix build boardhavebluetooth truennnedoffbi nick pelli 
4391,add defionn 
4392,enabl tcpdumpn 
4408,build simlat ubuntu complain aboutnlack intmax without includ errornframeworksbaselibssurfaceflingersurfaceflingercpp member function ‘virtual androidstatust const androidparcel ’ error ‘intmax’ wa declar thi scopenn 
4410,extend android cdma mobil technolog supportnnthi clean upload first contribut project ha goal extend thenandroid telephoni layer cdma mobil technolog supportnth current releas android support gsmwcdma mobil communicationnstandardsnour contribut contain chang phone relat applic thenappl framework telephoni packag ril daemon librari spacenth implement cdma support requir architectur chang thentelephoni packag extens ril interfacenth applic interfac sdk interfac extend providencdma specif featuresinform phone relat applic othernapplicationsnwher ever possibl actual use radio technolog transpar thenappl use mobil connectionsnneach increment contribut provid pretest set use casenimplementationsnth final contribut support cdma function android phonesnsupportingneith cdma mobil technolog onli world mode includ gsmwcdma cdmanth follow cdma technolog consid evdonnthi contribut implement follow use casesnuc startupphonenuc initi phonenuc access simruimnuc network indicationsnuc mobil origin callnuc mobil termin callnuc network phone settingsnuc supplementari servic partlynnwith use case phone willn start upn access cdma subscript inform memori card either sim usim ruimn regist networkn provid registr statu applic displayingn abl handl incom outgo voic callsn provid phone call set set applicationn provid supplementari servic set applicationnnvari review comment also fix thi contributionnnapprov aravind mahishi aravindmahishitelecacomn wolfgang schmidt wolfgangschmidttelecacomn 
4412,extend android cdma mobil technolog support review comment fixednnthi project ha goal extend android telephoni layer cdmanmobil technolog supportnth current releas android support gsmwcdma mobil communicationnstandardsnour contribut contain chang phone relat applic thenappl framework telephoni packag ril daemon librari spacenth implement cdma support requir architectur chang thentelephoni packag extens ril interfacenth applic interfac sdk interfac extend providencdma specif featuresinform phone relat applic othernapplicationsnwher ever possibl actual use radio technolog transpar thenappl use mobil connectionsnneach increment contribut provid pretest set use casenimplementationsnth final contribut support cdma function android phonesnsupportingneith cdma mobil technolog onli world mode includ gsmwcdma cdmanth follow cdma technolog consid evdonnthi contribut implement follow use casesnuc startupphonenuc initi phonenuc access simruimnuc network indicationsnuc mobil origin callnuc mobil termin callnuc network phone settingsnuc supplementari servic partlynnwith use case phone willn start upn access cdma subscript inform memori card either sim usim ruimn regist networkn provid registr statu applic displayingn abl handl incom outgo voic callsn provid phone call set set applicationn provid supplementari servic set applicationnnvari review comment also fix thi contributionnnapprov aravind mahishi aravindmahishitelecacomn wolfgang schmidt wolfgangschmidttelecacomn 
4418,thi contribut project ha goal extend thenandroid telephoni layer cdma mobil technolog supportnth current releas android support gsmwcdma mobil communicationnstandardsnour contribut contain chang phone relat applic thenappl framework telephoni packag ril daemon librari spacenth implement cdma support requir architectur chang thentelephoni packag extens ril interfacenth applic interfac sdk interfac extend providencdma specif featuresinform phone relat applic othernapplicationsnwher ever possibl actual use radio technolog transpar thenappl use mobil connectionsnnthi combin commitsnncoreapicurrentxml updat file new wa ad modifi cdma implementationncoreconfigmk updat lib librari run emulatorncoreprelinklinuxarmmap ad new lib prelinkingnnapprov aravind mahishi aravindmahishitelecacomn wolfgang schmidt wolfgangschmidttelecacomn 
4432,creat sound devic node devsndn 
4601,extend android cdma mobil technolog support review comment fixednnthi clean upload first contribut project ha goal extend thenandroid telephoni layer cdma mobil technolog supportnth current releas android support gsmwcdma mobil communicationnstandardsnour contribut contain chang phone relat applic thenappl framework telephoni packag ril daemon librari spacenth implement cdma support requir architectur chang thentelephoni packag extens ril interfacenth applic interfac sdk interfac extend providencdma specif featuresinform phone relat applic othernapplicationsnwher ever possibl actual use radio technolog transpar thenappl use mobil connectionsnneach increment contribut provid pretest set use casenimplementationsnth final contribut support cdma function android phonesnsupportingneith cdma mobil technolog onli world mode includ gsmwcdma cdmanth follow cdma technolog consid evdonnthi contribut implement follow use casesnuc startupphonenuc initi phonenuc access simruimnuc network indicationsnuc mobil origin callnuc mobil termin callnuc network phone settingsnuc supplementari servic partlynnwith use case phone willn start upn access cdma subscript inform memori card either sim usim ruimn regist networkn provid registr statu applic displayingn abl handl incom outgo voic callsn provid phone call set set applicationn provid supplementari servic set applicationnnvari review comment also fix thi contributionnnapprov aravind mahishi aravindmahishitelecacomn wolfgang schmidt wolfgangschmidttelecacomn 
4603,extend android cdma mobil technolog support review comment fixednnthi clean upload first contribut project ha goal extend thenandroid telephoni layer cdma mobil technolog supportnth current releas android support gsmwcdma mobil communicationnstandardsnour contribut contain chang phone relat applic thenappl framework telephoni packag ril daemon librari spacenth implement cdma support requir architectur chang thentelephoni packag extens ril interfacenth applic interfac sdk interfac extend providencdma specif featuresinform phone relat applic othernapplicationsnwher ever possibl actual use radio technolog transpar thenappl use mobil connectionsnneach increment contribut provid pretest set use casenimplementationsnth final contribut support cdma function android phonesnsupportingneith cdma mobil technolog onli world mode includ gsmwcdma cdmanth follow cdma technolog consid evdonnthi contribut implement follow use casesnuc startupphonenuc initi phonenuc access simruimnuc network indicationsnuc mobil origin callnuc mobil termin callnuc network phone settingsnuc supplementari servic partlynnwith use case phone willn start upn access cdma subscript inform memori card either sim usim ruimn regist networkn provid registr statu applic displayingn abl handl incom outgo voic callsn provid phone call set set applicationn provid supplementari servic set applicationnnvari review comment also fix thi contributionnnapprov aravind mahishi aravindmahishitelecacomn wolfgang schmidt wolfgangschmidttelecacomn 
4604,extend android cdma mobil technolog support review comment fixednnthi project ha goal extend android telephoni layer cdmanmobil technolog supportnth current releas android support gsmwcdma mobil communicationnstandardsnour contribut contain chang phone relat applic thenappl framework telephoni packag ril daemon librari spacenth implement cdma support requir architectur chang thentelephoni packag extens ril interfacenth applic interfac sdk interfac extend providencdma specif featuresinform phone relat applic othernapplicationsnwher ever possibl actual use radio technolog transpar thenappl use mobil connectionsnneach increment contribut provid pretest set use casenimplementationsnth final contribut support cdma function android phonesnsupportingneith cdma mobil technolog onli world mode includ gsmwcdma cdmanth follow cdma technolog consid evdonnthi contribut implement follow use casesnuc startupphonenuc initi phonenuc access simruimnuc network indicationsnuc mobil origin callnuc mobil termin callnuc network phone settingsnuc supplementari servic partlynnwith use case phone willn start upn access cdma subscript inform memori card either sim usim ruimn regist networkn provid registr statu applic displayingn abl handl incom outgo voic callsn provid phone call set set applicationn provid supplementari servic set applicationnnvari review comment also fix thi contributionnnapprov aravind mahishi aravindmahishitelecacomn wolfgang schmidt wolfgangschmidttelecacomn 
4619,ad ff function support requir enabl vsscanf function support requir alsalibn 
4622,chang sprintf snprintfnnupd snprintf additionali fix code style mix per filenremov typosn 
